loss,lr,train_precision_macro,train_recall_macro,train_f1_macro,valid_precision_macro,valid_recall_macro,valid_f1_macro
0.0023374940129786037,0.0016200000000000001,0.8765694425616841,0.9995466951220879,0.9158646121333661,0.9423511445498547,0.9996681292993492,0.9647210886266268
0.0023234700153017085,0.0016200000000000001,0.8397453817548104,0.9995210770699897,0.8651560648986755,0.873676309723741,0.9996147183080022,0.8852061655228675
0.002428811417835375,0.0016200000000000001,0.8788289526401957,0.999521689802362,0.9185472036826079,0.9747029684826509,0.999662065960645,0.9864613269343402
0.0023888348326120573,0.0016200000000000001,0.8729764436383498,0.9995366609397822,0.9123925838900141,0.9732696970667177,0.9996783286983542,0.9857430805553669
0.002306065037469959,0.0016200000000000001,0.8436895759863942,0.999576736861229,0.8715122267515282,0.885896694581686,0.9997023114624786,0.9030348742725941
0.0024630455621633663,0.0016200000000000001,0.8855608987629248,0.9995441171208234,0.9243200278858872,0.9629469001779685,0.9995395070131083,0.9789839769682538
0.0024290278229458476,0.0016200000000000001,0.8874277593882496,0.9995507343198906,0.9265167976876536,0.9757131546865148,0.9996615763901008,0.9869706873609948
0.002291941520603794,0.001458,0.8408674035289089,0.9995770721711577,0.8660430875665699,0.8794531642667157,0.9996668413709333,0.8919795575953535
0.0024202587397586127,0.001458,0.8533105764796487,0.9995419200406168,0.8857443479777546,0.8914596832734791,0.9996018200341779,0.9100995987600993
0.0023154447625298373,0.001458,0.8447813758654712,0.9995457246906299,0.8744503230375661,0.8965052063866396,0.9996849633277083,0.9189366658852893
0.0023107023317917863,0.001458,0.8507467653404681,0.999578199208318,0.8816716241258926,0.890977291243507,0.9996533494898974,0.9092576083316987
0.0026042898857149277,0.001458,0.8885249713049217,0.999563232658578,0.9275879844253645,0.972591304774854,0.9996814206134301,0.9853990499290379
0.0022651656487949335,0.001458,0.8868265739049561,0.9995618960554751,0.9257121423708812,0.9759130645022417,0.9996312797812688,0.9870563494374678
0.002330819721686795,0.001458,0.8851256365455509,0.9995592791099652,0.924567165880316,0.9745796165614896,0.9996421746048472,0.9863862359481212
0.0023690515424499995,0.001458,0.8517598641051393,0.9995180406805723,0.8889886291784166,0.9391458558928003,0.999587323336621,0.9630264552316034
0.002400711067758758,0.001458,0.8809209970362435,0.999567185678499,0.9198560184466033,0.9762694770371043,0.9995852013703892,0.9872130480102648
0.0025833563340590536,0.001458,0.8920219818240428,0.9995742546634668,0.9310972531100827,0.9750389687719102,0.9997160449074005,0.9866573308835056
0.0025016033689197964,0.001458,0.8842961632269615,0.9995670682442708,0.9236906848617314,0.9611042537367595,0.9996347775886673,0.9780977365656665
0.00239556817427907,0.001458,0.8441410650794392,0.9995442029747019,0.872534883233062,0.8840636387771741,0.9996290827480688,0.8996372722211667
0.002254667736299122,0.001458,0.8755990623072825,0.9995577468969483,0.9139235771912231,0.9628886158218397,0.9996503139105964,0.9790094596466375
0.00230229150873341,0.001458,0.8818787749486307,0.9995599009789138,0.9209958146081141,0.9743700622595395,0.9996748565427589,0.9862830517766334
0.002233034517323212,0.001458,0.8751903161194022,0.9995751156985663,0.9138614594858141,0.9424135737149115,0.9996877743328488,0.9647485800791584
0.0023018607881666008,0.001458,0.8813314477235661,0.9995559953399542,0.9205166740521562,0.9751364721158144,0.9996521686784846,0.9866745404328945
0.0023014649994774357,0.001458,0.8869420349485755,0.9985211380484726,0.9247535517960694,0.9769741881344436,0.9970370026273598,0.9862782627683008
0.0022560588994738357,0.001458,0.8896100160786851,0.9995923638895272,0.9281503787977283,0.9767497914905992,0.9996567381650691,0.987489517083212
0.002429896431945822,0.001458,0.8427850034249161,0.999542438780222,0.8714765693163051,0.8881866713882325,0.999676924997141,0.9078536924339626
0.0023340122772426025,0.001458,0.8893137041632616,0.9993986321966583,0.9281497039362419,0.9759729461810434,0.9991371578607761,0.9868406674282469
0.00213788402960835,0.0013122000000000001,0.8700019422796725,0.99958316921132,0.9077266092515972,0.9439709662007378,0.999659163444818,0.9655365357932826
0.0022605496703374914,0.0013122000000000001,0.8847493860166631,0.9995499587930539,0.9240591033070116,0.9759087516720217,0.9996539615100054,0.9870651006292607
0.00222853245329943,0.0013122000000000001,0.8880110997330789,0.9992670828582425,0.9266706131480456,0.9761407850722885,0.9987887719582966,0.9867506329145044
0.0021307695478727916,0.0013122000000000001,0.8852361889796186,0.9995586083466982,0.9244114233337086,0.9764395158369104,0.9996568252482068,0.9873337422766513
0.0023270000342448206,0.0013122000000000001,0.8800428972317065,0.9995644241654634,0.918854485394507,0.962855209676225,0.9996128662707356,0.9789741077768125
0.0022092483544919913,0.0013122000000000001,0.8406968614120529,0.9995234811721534,0.8659131716873099,0.8786212030326459,0.9996032752891246,0.890101621276324
0.002193219433205673,0.0013122000000000001,0.8792378832593444,0.9995832599793923,0.9181134509003852,0.9759310956947052,0.9996855976580944,0.9870931080708433
0.0023972146234449818,0.0013122000000000001,0.7667984204080486,0.8418082661836865,0.7238316286796531,0.7844628522268484,0.7389055122651915,0.6846521535946699
0.0023257814988896647,0.0013122000000000001,0.8394055596370104,0.9990953820309909,0.8609505069313995,0.8730749262769488,0.9981919922602751,0.8799501965972513
0.002189460900495305,0.0013122000000000001,0.8361790277927004,0.999565587203739,0.8585003920668643,0.8707778272021807,0.9996982066671405,0.8776131606597362
0.0021602445123400024,0.0013122000000000001,0.8921007732574757,0.9994383195072019,0.9305005804689312,0.9618126900625572,0.999246813451496,0.9782484647956312
0.002180338225293488,0.0013122000000000001,0.8858979012097222,0.9992884818241088,0.9251021913718518,0.9631742807449731,0.9988376797510171,0.9787479980434695
0.002454310837185725,0.0013122000000000001,0.8877086156627756,0.9987632778740363,0.9257651908929008,0.977554472743817,0.9982491269469154,0.9871853986774249
